"taxa"
"Abronia villosa"
"Acamptopappus sphaerocephalus"
"Acmispon strigosus"
"Ambrosia dumosa"
"Ambrosia salsola"
"Amsinckia tessellata"
"Anemopsis californica"
"Astragalus mohavensis"
"Astragalus nuttallianus"
"Atriplex canescens"
"Atriplex polycarpa"
"Baccharis salicina"
"Baccharis sergiloides"
"Bebbia juncea"
"Brickellia desertorum"
"Bromus madritensis"
"Castilleja chromosa"
"Chaenactis fremontii"
"Chaenactis stevioides"
"Chorizanthe rigida"
"Chrysothamnus viscidiflorus"
"Cleomella arborea"
"Cylindropuntia acanthocarpa"
"Cylindropuntia echinocarpa"
"Cylindropuntia ramosissima"
"Cynodon dactylon"
"Dichelostemma capitatum"
"Echinocactus polycephalus"
"Echinocereus engelmannii"
"Echinocereus triglochidiatus"
"Encelia farinosa"
"Ephedra viridis"
"Eremalche rotundifolia"
"Eremothera boothii"
"Ericameria paniculata"
"Eriogonum brachypodum"
"Eriogonum deflexum"
"Eriogonum fasciculatum"
"Eriogonum inflatum"
"Eriophyllum wallacei"
"Erodium cicutarium"
"Erodium texanum"
"Eucrypta chrysanthemifolia"
"Euphorbia albomarginata"
"Ferocactus cylindraceus"
"Gilia cana"
"Gilia clokeyi"
"Gilia stellata"
"Grayia spinosa"
"Heliotropium curassavicum"
"Johnstonella angustifolia"
"Krameria erecta"
"Langloisia setosissima"
"Larrea tridentata"
"Lepidium densiflorum"
"Lepidium fremontii"
"Lepidospartum squamatum"
"Lotus strigosus"
"Lupinus concinnus"
"Lycium andersonii"
"Mammillaria tetrancistra"
"Mirabilis laevis"
"Monoptilon bellidiforme"
"Monoptilon bellioides"
"Munroa pulchella"
"Nicolletia occidentalis"
"Nicotiana attenuata"
"Nicotiana obtusifolia"
"Notholaena californica"
"Opuntia basilaris"
"Pectocarya heterocarpa"
"Pectocarya penicillata"
"Perityle emoryi"
"Phacelia crenulata"
"Phacelia distans"
"Phacelia rotundifolia"
"Phoradendron californicum"
"Phragmites australis"
"Physalis crassifolia"
"Physaria tenella"
"Plagiobothrys arizonicus"
"Plagiobothrys jonesii"
"Plantago ovata"
"Psorothamnus arborescens"
"Salvia columbariae"
"Salvia dorrii"
"Schismus barbatus"
"Scutellaria mexicana"
"Senecio flaccidus"
"Senecio mohavensis"
"Senegalia greggii"
"Sphaeralcea ambigua"
"Stipa hymenoides"
"Stylocline micropoides"
"Tetraneuris acaulis"
"Tidestromia suffruticosa"
"Uropappus lindleyi"
"Xylorhiza tortifolia"
"Yucca schidigera"
