"","Genus_species","Easting","Northing"
"1","Abronia villosa",608919.521560287,3899714.3990764
"2","Acamptopappus sphaerocephalus",609627.516489155,3899825.78296723
"3","Acamptopappus sphaerocephalus",609632.083794912,3899824.39635973
"4","Acmispon strigosus",609305.289854895,3900176.17339127
"5","Acmispon strigosus",609308.946743268,3900182.31851466
"6","Acmispon strigosus",609316.829274424,3900192.72992327
"7","Acmispon strigosus",609319.605750491,3900196.42404724
"8","Acmispon strigosus",609321.197981344,3900200.21476632
"9","Acmispon strigosus",609314.659128933,3900146.44792521
"10","Acmispon strigosus",609303.666942613,3900129.78709538
"11","Acmispon strigosus",609296.051950669,3900119.82263856
"12","Acmispon strigosus",609340.452790257,3900150.75337363
"13","Acmispon strigosus",609355.911880719,3900159.25986892
"14","Acmispon strigosus",609368.455148012,3900168.06386666
"15","Acmispon strigosus",609295.026226107,3900182.03916518
"16","Acmispon strigosus",609294.001155941,3900184.02341413
"17","Acmispon strigosus",609288.990103422,3900176.97451478
"18","Acmispon strigosus",609283.984169216,3900177.02488165
"19","Acmispon strigosus",609283.990636895,3900184.01323612
"20","Acmispon strigosus",609329.031981586,3900146.9546271
"21","Acmispon strigosus",609332.987348297,3900150.99579655
"22","Acmispon strigosus",609345.018252043,3900157.02043357
"23","Acmispon strigosus",609358.013811084,3900166.05174081
"24","Acmispon strigosus",609360.023402813,3900172.95342062
"25","Ambrosia dumosa",608833.998249867,3899708.00715247
"26","Ambrosia dumosa",608909.819256212,3899711.84793975
"27","Ambrosia dumosa",608908.994972582,3899727.7988466
"28","Ambrosia dumosa",608904.916073967,3899726.42474695
"29","Ambrosia dumosa",608894.995215655,3899779.76475236
"30","Ambrosia dumosa",608890.258028087,3899778.47516186
"31","Ambrosia dumosa",608887.626269803,3899778.68994426
"32","Ambrosia dumosa",609368.450242052,3900168.05148226
"33","Ambrosia dumosa",608889.128482984,3899895.27151023
"34","Ambrosia dumosa",609282.189871793,3899859.31400205
"35","Ambrosia dumosa",609284.247021843,3899868.98319409
"36","Ambrosia dumosa",609294.859590965,3899865.22919366
"37","Ambrosia dumosa",609293.599926291,3899862.77976883
"38","Ambrosia dumosa",609302.227478068,3899849.66557945
"39","Ambrosia dumosa",609273.612288114,3899868.29994012
"40","Ambrosia dumosa",609275.468473026,3899873.68376333
"41","Ambrosia dumosa",609280.068686676,3899852.84853516
"42","Ambrosia dumosa",609280.034218725,3899849.42793195
"43","Ambrosia dumosa",609774.68244996,3899413.48625988
"44","Ambrosia dumosa",609714.707232379,3899420.74447337
"45","Ambrosia dumosa",609734.089128184,3899436.06563391
"46","Ambrosia dumosa",609723.266842339,3899435.37959119
"47","Ambrosia dumosa",609681.70803698,3899432.54562804
"48","Ambrosia dumosa",609742.443039759,3899445.15201899
"49","Ambrosia dumosa",609756.779153445,3899433.78992835
"50","Ambrosia dumosa",609758.615457187,3899447.45602075
"51","Ambrosia dumosa",609745.233061171,3899447.73718088
"52","Ambrosia dumosa",609763.791071195,3899455.94919647
"53","Ambrosia dumosa",609746.16476735,3899460.94858368
"54","Ambrosia dumosa",609710.528591177,3899465.06377244
"55","Ambrosia dumosa",609732.135379564,3899469.5412869
"56","Ambrosia dumosa",609757.207482606,3899465.96341167
"57","Ambrosia dumosa",609768.020299643,3899467.42585725
"58","Ambrosia dumosa",609778.601982222,3899480.4217203
"59","Ambrosia dumosa",609726.856991258,3899491.99498393
"60","Ambrosia dumosa",609693.876646546,3899487.26847778
"61","Ambrosia dumosa",609683.746614971,3899482.04295564
"62","Ambrosia dumosa",609710.496902303,3899512.650252
"63","Ambrosia dumosa",608909.075184032,3899721.14432695
"64","Ambrosia dumosa",608904.916148235,3899726.41858536
"65","Ambrosia dumosa",608894.990160296,3899779.76469143
"66","Ambrosia dumosa",608890.273045654,3899778.48766782
"67","Ambrosia dumosa",608887.631473678,3899778.677682
"68","Ambrosia dumosa",608888.959202028,3899895.05378293
"69","Ambrosia dumosa",609662.336815342,3899813.78191583
"70","Ambrosia dumosa",609593.590774413,3899786.54760736
"71","Ambrosia dumosa",609270.883516604,3900101.43740811
"72","Ambrosia dumosa",609315.103572591,3900064.59063792
"73","Ambrosia dumosa",609307.686172562,3900105.9868457
"74","Ambrosia dumosa",609308.154300504,3900112.4261608
"75","Ambrosia dumosa",609341.772015396,3900049.27293666
"76","Ambrosia dumosa",609012.09463772,3899804.47104921
"77","Ambrosia dumosa",608976.907202662,3899809.26003356
"78","Ambrosia dumosa",609036.390586209,3899827.39289117
"79","Ambrosia dumosa",608977.914995248,3899846.43200489
"80","Ambrosia dumosa",608972.261213661,3899847.36213534
"81","Ambrosia dumosa",608978.373987767,3899846.1047667
"82","Ambrosia dumosa",609043.617905716,3899877.06352556
"83","Ambrosia dumosa",609052.880710482,3899878.72827294
"84","Ambrosia dumosa",609060.549772679,3899876.71327095
"85","Ambrosia dumosa",608977.357120369,3899885.13804139
"86","Ambrosia dumosa",609614.525066477,3899891.4039353
"87","Ambrosia dumosa",609623.331638573,3899870.65686213
"88","Ambrosia dumosa",609570.923930372,3899862.03452835
"89","Ambrosia dumosa",609657.130641405,3899822.8145881
"90","Ambrosia dumosa",608785.342679462,3900246.76822319
"91","Ambrosia dumosa",608787.341655829,3900239.47125784
"92","Ambrosia dumosa",608787.27604025,3900237.36289631
"93","Ambrosia dumosa",608788.223355745,3900234.26840954
"94","Ambrosia dumosa",608828.907147006,3900218.78525514
"95","Ambrosia dumosa",608870.010266111,3900228.93097101
"96","Ambrosia dumosa",608868.409835066,3900225.80578814
"97","Ambrosia dumosa",608870.079666283,3900215.62082626
"98","Ambrosia dumosa",609108.452407642,3900205.62938973
"99","Ambrosia dumosa",609118.214032601,3900203.63971878
"100","Ambrosia dumosa",609545.779745268,3899421.24627763
"101","Ambrosia dumosa",609519.840636955,3899421.2646323
"102","Ambrosia dumosa",609550.036588991,3899422.96175911
"103","Ambrosia dumosa",609572.830581835,3899427.12050403
"104","Ambrosia dumosa",609524.795501889,3899432.97181164
"105","Ambrosia dumosa",609523.365564484,3899445.82177994
"106","Ambrosia dumosa",609522.545220094,3899445.92276197
"107","Ambrosia dumosa",609574.750986323,3899448.88509528
"108","Ambrosia dumosa",609560.999229192,3899449.60574892
"109","Ambrosia dumosa",609497.192114905,3899450.16343127
"110","Ambrosia dumosa",609561.302715772,3899454.60105445
"111","Ambrosia dumosa",609497.388509212,3899456.48853556
"112","Ambrosia dumosa",609490.058794048,3899460.50394379
"113","Ambrosia dumosa",609511.146567066,3899462.75613694
"114","Ambrosia dumosa",609583.15027014,3899484.26111066
"115","Ambrosia dumosa",609501.060533908,3899483.93150654
"116","Ambrosia dumosa",609554.898696778,3899487.35721513
"117","Ambrosia dumosa",609500.835526201,3899487.47837977
"118","Ambrosia dumosa",609581.267062215,3899489.45174921
"119","Ambrosia dumosa",609514.199024107,3899488.74958134
"120","Ambrosia dumosa",609578.943653376,3899493.41687445
"121","Ambrosia dumosa",609578.718615098,3899496.96374653
"122","Ambrosia dumosa",609340.452790257,3900150.75337363
"123","Ambrosia dumosa",609368.455148012,3900168.06386666
"124","Ambrosia salsola",609364.167511567,3900108.77798457
"125","Amsinckia tessellata",608791.830861942,3899701.64497141
"126","Amsinckia tessellata",609360.687518668,3900170.29925878
"127","Amsinckia tessellata",609308.524289944,3900014.15107822
"128","Amsinckia tessellata",609327.326003197,3900032.23750766
"129","Amsinckia tessellata",609330.363179575,3900006.87243377
"130","Amsinckia tessellata",609350.808192647,3900092.19936669
"131","Amsinckia tessellata",609332.987348297,3900150.99579655
"132","Amsinckia tessellata",609359.96866018,3900169.95778154
"133","Anemopsis californica",608774.320107314,3899711.41737215
"134","Anemopsis californica",608774.996708135,3899714.0137609
"135","Anemopsis californica",608775.889618299,3899715.44188186
"136","Anemopsis californica",608776.347256201,3899717.326949
"137","Anemopsis californica",608777.855770326,3899720.11822797
"138","Anemopsis californica",609113.869464956,3900027.11799993
"139","Anemopsis californica",609124.189855233,3900032.88133458
"140","Anemopsis californica",609125.686756205,3900030.34197963
"141","Anemopsis californica",609137.1854674,3900034.82543828
"142","Anemopsis californica",608876.532967767,3899868.49776684
"143","Anemopsis californica",609681.965403538,3899463.82962223
"144","Anemopsis californica",608875.997321301,3899868.05377531
"145","Anemopsis californica",609283.781841476,3900058.33267479
"146","Anemopsis californica",609311.807149937,3900081.3004289
"147","Anemopsis californica",609312.318220117,3900084.19066311
"148","Anemopsis californica",609346.994046736,3900068.96986952
"149","Anemopsis californica",609349.797575381,3900100.50651178
"150","Anemopsis californica",609363.801157345,3900101.45249686
"151","Astragalus mohavensis",609282.189871793,3899859.31400205
"152","Astragalus mohavensis",609302.384386872,3899836.69541869
"153","Astragalus mohavensis",609380.096073397,3899995.82728205
"154","Astragalus mohavensis",609458.99208001,3899973.93224952
"155","Astragalus mohavensis",609393.359727422,3899967.70198979
"156","Astragalus nuttallianus",608893.540783954,3899787.1730208
"157","Astragalus nuttallianus",608899.269225853,3899808.99564552
"158","Astragalus nuttallianus",609282.189871793,3899859.31400205
"159","Astragalus nuttallianus",608918.079286388,3899714.50493994
"160","Astragalus nuttallianus",608918.074453817,3899714.48639423
"161","Astragalus nuttallianus",608893.535654336,3899787.17912147
"162","Astragalus nuttallianus",608899.279410808,3899808.98960579
"163","Atriplex canescens",609510.967656346,3899454.98921886
"164","Atriplex canescens",609494.115770881,3899471.20190185
"165","Atriplex canescens",609558.427048229,3899474.08899154
"166","Atriplex canescens",609531.305093666,3899474.09296644
"167","Atriplex canescens",609556.744677978,3899477.72911944
"168","Atriplex canescens",609498.040465411,3899477.79403445
"169","Atriplex canescens",609531.128053444,3899481.19002106
"170","Atriplex canescens",609532.297605034,3899482.313448
"171","Atriplex canescens",609500.835526201,3899487.47837977
"172","Atriplex canescens",609582.065883316,3899491.12531215
"173","Atriplex canescens",609501.072236464,3899490.47622322
"174","Atriplex canescens",609501.873760113,3899491.92796131
