"taxa"
"Acamptopappus sphaerocephalus"
"Acmispon strigosus"
"Ambrosia dumosa"
"Ambrosia salsola"
"Amsinckia tessellata"
"Anemopsis"
"Anemopsis californica"
"Artemisia"
"Astragalus mohavensis"
"Astragalus nuttallianus"
"Astragalus nuttallianus var. imperfectus"
"Atriplex polycarpa"
"Baccharis salicina"
"Baccharis sarothroides"
"Baccharis sergiloides"
"Bebbia juncea"
"Brickellia desertorum"
"Bromus madritensis ssp. rubens"
"Bryophyta"
"Bryoria"
"Cactus"
"Chaenactis fremontii"
"Chamaesyce albomarginata"
"Chorizanthe rigida"
"Cryptandra angustifolia"
"Cryptantha angustifolia"
"Cryptanthus angustifolius"
"Cylindropuntia acanthocarpa"
"Cylindropuntia echinocarpa"
"Cylindropuntia ramosissima"
"Cylindropuntia ramossissima"
"Cynodon dactylon"
"Dasyochloa pulchella"
"Didymodon"
"Dryophytes"
"Echinocactus polycephalus"
"Echinocereus engelmannii"
"Echinocereus triglochidiatus"
"Encelia farinosa"
"Ephedra viridis"
"Eremalche rotundifolia"
"Ericameria paniculata"
"Eriogonum deflexum"
"Eriogonum fasciculatum"
"Eriogonum inflatum"
"Eriophyllum wallacei"
"Erodium cicutarium"
"Erodium texanum"
"Eucrypta chrysanthemifolia var. bipinnatifida"
"Ferocactus cylindraceus"
"Gilia stellata"
"Heliotropium curassavicum"
"Krameria erecta"
"Langloisia setosissima"
"Larra tridentata"
"Larrea tridentata"
"Lepidium densiflorum"
"Lepidium fremontii"
"Lepidospartum squamatum"
"Lichens"
"Lycium andersonii"
"Mammillaria tetrancistra"
"Mirabilis laevis"
"Monoptilon bellidiforme"
"Monoptilon bellioides"
"Nicolletia occidentalis"
"Nicotiana attenuata"
"Nicotiana obtusifolia"
"Notholaena californica"
"Opuntia basilaris"
"Opuntia bigelovii"
"Opuntia ramosissima"
"Pectocarya"
"Pectocarya penicillata"
"Peritoma arborea"
"Perityle emoryi"
"Phacelia crenulata"
"Phacelia rotundifolia"
"Phoradendron californicum"
"Phragmites australis"
"Physaria tenella"
"Plagiobothrys jonesii"
"Plantago ovata"
"Psorothamnus arborescens"
"Salvia columbariae"
"Scutellaria mexicana"
"Senecio flaccidus var. monoensis"
"Senecio mohavensis"
"Senegalia greggii"
"Sphaeralcea ambigua"
"Stipa hymenoides"
"Stylocline micropoides"
"Tidestromia suffruticosa"
"Unknown"
"Uropappus lindleyi"
"Xylorhiza tortifolia"
"Yucca schidigera"
