"taxa","internal transcribed spacer","atpb","trnK","trnL","matK","matR","ndhF","rbcL"
"Abronia villosa","84313848",NA,NA,NA,NA,NA,NA,NA
"Acamptopappus sphaerocephalus","745998402",NA,"745998182","745998324","745998182",NA,NA,NA
"Acmispon maritimus",NA,NA,NA,NA,NA,NA,NA,NA
"Acmispon strigosus","1378757819",NA,NA,NA,NA,NA,NA,NA
"Ambrosia dumosa","1483237314",NA,"1318000005","1497453521","1251774678",NA,NA,"1251773953"
"Ambrosia salsola","1483237321",NA,"1318000065","1497453528","1318000065",NA,NA,NA
"Amsinckia tessellata","1198283758",NA,"601101168","601105952","601101168",NA,"582987651","578897940"
"Anemopsis californica","29126581","6467925","343198343","27448098","343198343","6513666",NA,"6513621"
"Artemisia","1819775889","1063821246","1198273139","1681043411","1791157903","1063821710","164665202","1809499772"
"Astragalus mohavensis",NA,NA,NA,NA,NA,NA,NA,NA
"Astragalus nuttallianus","1215153859",NA,"1215154119",NA,"1215154119",NA,NA,NA
"Astragalus nuttallianus var. imperfectus",NA,NA,NA,NA,NA,NA,NA,NA
"Atriplex polycarpa","308512911",NA,NA,NA,NA,NA,NA,NA
"Baccharis salicina",NA,NA,"745998176","745998330","745998176",NA,NA,NA
"Baccharis sarothroides",NA,NA,NA,"1808194804",NA,NA,NA,NA
"Baccharis sergiloides",NA,NA,NA,"1808194809",NA,NA,NA,NA
"Bebbia juncea",NA,NA,"37786376","37529355","37786376",NA,"41582029","34765362"
"Brickellia desertorum","693301435",NA,NA,NA,NA,NA,NA,NA
"Bromus madritensis","1032655962",NA,"340512465","158634009","340512465",NA,NA,"340510953"
"Bromus madritensis ssp. rubens",NA,NA,NA,NA,NA,NA,NA,NA
"Bryophyta","1827297452","1732219662","1340366776","1828185711","1340366776",NA,"321373631","1828185667"
"Bryoria","1733397958",NA,NA,NA,NA,NA,NA,NA
"Cactus",NA,NA,NA,NA,NA,NA,NA,NA
"Camissonia boothii","33286751",NA,NA,"32816093",NA,NA,"28076701","28076701"
"Castilleja angustifolia",NA,NA,NA,"4566685",NA,NA,NA,"1325358037"
"Chaenactis fremontii",NA,NA,NA,NA,NA,NA,NA,NA
