Object_ID,Observation,GPS,Waypoint,Latitude,Longitude,Date,Team_Members,Camera_Phone,Phicture_ID,Cover_Class,Incline,Average_Slope,Common_Name ,Family,Genus_Species,Number,Total_Vascular_No_Grasses,Number_Unique,Abstract_Notes,Notebook_ID,
1,"MJV14-17-BIO-VT-10,-3-1A",1,974,35.231777,-115.79363,,Lauren Yang/Pam Lim,Lauren Yang,999-9005,Gravel,,,White Bursage,Asteraceae,Ambrosia dumosa,1,TNTC,5,White bursage,,
2,"MJV14-17-BIO-VT-10,-3-1A",1,974,35.231777,-115.79363,,Lauren Yang/Pam Lim,Lauren Yang,999-9005,Gravel,,,Red Brome,Poaceae,Bromus madritensis ssp. rubens,TNTC,TNTC,5,Red Brome,,
3,"MJV14-17-BIO-VT-10,-3-1A",1,974,35.231777,-115.79363,,Lauren Yang/Pam Lim,Lauren Yang,999-9005,Gravel,,,Pencil Cholla,Cactaceae,Cylindropuntia ramosissima,1,TNTC,5,Pencil cholla,,
4,"MJV14-17-BIO-VT-10,-3-1A",1,974,35.231777,-115.79363,,Lauren Yang/Pam Lim,Lauren Yang,999-9005,Gravel,,,Mormon Tea ,Ephedraceae,Ephedra viridis,1,TNTC,5,Mormon tea,,
5,"MJV14-17-BIO-VT-10,-3-1A",1,974,35.231777,-115.79363,,Lauren Yang/Pam Lim,Lauren Yang,999-9005,Gravel,,,Desert Trumpet,Polygonaceae,Eriogonum inflatum,1,TNTC,5,Desert trumpet,,
6,"MJV14-17-BIO-VT-10,-3-1B",1,975,35.231774,-115.79363,,Lauren Yang/Pam Lim,Lauren Yang,999-9006,Sand,,,Red Brome,Poaceae,Bromus madritensis ssp. rubens,TNTC,TNTC,3,Red Brome,,
7,"MJV14-17-BIO-VT-10,-3-1B",1,975,35.231774,-115.79363,,Lauren Yang/Pam Lim,Lauren Yang,999-9006,Sand,,,Buckhorn Cholla,Cactaceae,Cylindropuntia acanthocarpa,1,TNTC,3,Buckhorn cholla,,
8,"MJV14-17-BIO-VT-10,-3-1B",1,975,35.231774,-115.79363,,Lauren Yang/Pam Lim,Lauren Yang,999-9006,Sand,,,Anderson Thornbush,Solanaceae,Lycium andersonii,3,TNTC,3,Anderson thornbush,,
9,"MJV14-17-BIO-VT-10,-3-1C",1,976,35.231832,-115.793838,,Lauren Yang/Pam Lim,Lauren Yang,999-9007,Gravel,,,Low Woollygrass,Poaceae,Dasyochloa pulchella,1,TNTC,4,Low woollygrass,,
10,"MJV14-17-BIO-VT-10,-3-1C",1,976,35.231832,-115.793838,,Lauren Yang/Pam Lim,Lauren Yang,999-9007,Gravel,,,Mormon Tea ,Ephedraceae,Ephedra viridis,1,TNTC,4,Mormon tea,,
11,"MJV14-17-BIO-VT-10,-3-1C",1,976,35.231832,-115.793838,,Lauren Yang/Pam Lim,Lauren Yang,999-9008,Gravel,,,California Buckwheat ,Polygonaceae,Eriogonum fasciculatum,1,TNTC,4,California buckwheat,,
12,"MJV14-17-BIO-VT-10,-3-1C",1,976,35.231832,-115.793838,,Lauren Yang/Pam Lim,Lauren Yang,999-9007,Gravel,,,Mojave Yucca,Agavaceae,Yucca schidigera,3,TNTC,4,Mojave yucca,12,
13,"MJV14-17-BIO-VT-10,-3-1D",1,977,35.231783,-115.793979,,Lauren Yang/Pam Lim,Lauren Yang,999-9011,Live plant,,,Mojave Rabbitbush,Asteraceae,Ericameria paniculata,1,5,4,Mojave rabbitbush,,
14,"MJV14-17-BIO-VT-10,-3-1D",1,977,35.231783,-115.793979,,Lauren Yang/Pam Lim,Lauren Yang,999-9009,Live plant,,,California Buckwheat ,Polygonaceae,Eriogonum fasciculatum,1,5,4,California buckwheat,,
15,"MJV14-17-BIO-VT-10,-3-1D",1,977,35.231783,-115.793979,,Lauren Yang/Pam Lim,Lauren Yang,999-9009,Live plant,,,Anderson Thornbush,Solanaceae,Lycium andersonii,2,5,4,Anderson thornbush,,
16,"MJV14-17-BIO-VT-10,-3-1D",1,977,35.231783,-115.793979,,Lauren Yang/Pam Lim,Lauren Yang,999-9009,Live plant,,,Mojave Yucca,Agavaceae,Yucca schidigera,1,5,4,Mojave yucca,12,
17,"MJV14-17-BIO-VT-10,-3-1E",1,978,35.231793,-115.794085,,Lauren Yang/Pam Lim,Lauren Yang,999-9012,Granite,,,Mormon Tea ,Ephedraceae,Ephedra viridis,1,2,2,Mormon tea,,
