Object_ID,Observation,GPS,Waypoint,Latitude,Longitude,Date,Note_Taker,Team_Members,Camera_Phone,Picture_ID,Cover_Class,Average_Slope,Common_Name,Family,Genus_Species,Number,Total_Vascular_No_Grasses,Number_Unique,Abstract_Notes,Notebook_ID
1,"MJV3-15-BIO-VT-7,3-10A",2,110,35.236265,-115.797428,3/17/15,,Yamaguchi/Rodriquez,B. Rodriquez,"7,3-10A",Rock,,Red brome,Poaceae,Bromus madritensis ssp. Rubens,70,71,4,,6
2,"MJV3-15-BIO-VT-7,3-10A",2,110,35.236265,-115.797428,3/17/15,,Yamaguchi/Rodriquez,B. Rodriquez,"7,3-10A",Rock,,Desert pepperweed,Brassicaceae,Lepidium fremontii,1,71,4,ID from Unk. 27A pic,6
3,"MJV3-15-BIO-VT-7,3-10A",2,110,35.236265,-115.797428,3/17/15,,Yamaguchi/Rodriquez,B. Rodriquez,"7,3-10A",Rock,,Mulefat,Asteraceae,Baccharis salicina,1,71,4,,6
4,"MJV3-15-BIO-VT-7,3-10A",2,110,35.236265,-115.797428,3/17/15,,Yamaguchi/Rodriquez,B. Rodriquez,"7,3-10A",Rock,,"Bryophytes, non-vascular",,Bryophytes,1,71,4,,6
5,"MJV3-15-BIO-VT-7,3-10B",2,111,35.236264,-115.797384,3/17/15,,Yamaguchi/Rodriquez,B. Rodriquez,"7,3-10B",Rock,,Desert trumpet,Polygonaceae,Eriogonum inflatum,1,33,6,,6
6,"MJV3-15-BIO-VT-7,3-10B",2,111,35.236264,-115.797384,3/17/15,,Yamaguchi/Rodriquez,B. Rodriquez,"7,3-10B",Rock,,Anderson thornbush,Solanaceae,Lycium andersonii,2,33,6,,6
7,"MJV3-15-BIO-VT-7,3-10B",2,111,35.236264,-115.797384,3/17/15,,Yamaguchi/Rodriquez,B. Rodriquez,"7,3-10B",Rock,,Dead shrub,,Dead shrub,1,33,6,,6
8,"MJV3-15-BIO-VT-7,3-10B",2,111,35.236264,-115.797384,3/17/15,,Yamaguchi/Rodriquez,B. Rodriquez,"7,3-10B",Rock,,Red brome,Poaceae,Poaceae**,26,33,6,,6
9,"MJV3-15-BIO-VT-7,3-10B",2,111,35.236264,-115.797384,3/17/15,,Yamaguchi/Rodriquez,B. Rodriquez,"7,3-10B",Rock,,Low woollygrass,Poaceae,Dasyochloa pulchella,2,33,6,,6
10,"MJV3-15-BIO-VT-7,3-10B",2,111,35.236264,-115.797384,3/17/15,,Yamaguchi/Rodriquez,B. Rodriquez,"7,3-10B",Rock,,Anderson thornbush,Solanaceae,Lycium andersonii,1,33,6,,6
11,"MJV3-15-BIO-VT-7,3-10C",2,112,35.236255,-115.797352,3/17/15,,Yamaguchi/Rodriquez,B. Rodriquez,"7,3-10C",Rock,,grass,Poaceae,Poaceae**,50,57,7,,6
12,"MJV3-15-BIO-VT-7,3-10C",2,112,35.236255,-115.797352,3/17/15,,Yamaguchi/Rodriquez,B. Rodriquez,"7,3-10C",Rock,,Desert trumpet,Polygonaceae,Eriogonum inflatum,1,57,7,,6
13,"MJV3-15-BIO-VT-7,3-10C",2,112,35.236255,-115.797352,3/17/15,,Yamaguchi/Rodriquez,B. Rodriquez,"7,3-10C",Rock,,California buckwheat,Polygonaceae,Eriogonum fasciculatum,1,57,7,Unk. 31A,6
14,"MJV3-15-BIO-VT-7,3-10C",2,112,35.236255,-115.797352,3/17/15,,Yamaguchi/Rodriquez,B. Rodriquez,"7,3-10C",Rock,,California cholla,Cactaceae,Cylindropuntia californica,1,57,7,,6
15,"MJV3-15-BIO-VT-7,3-10C",2,112,35.236255,-115.797352,3/17/15,,Yamaguchi/Rodriquez,B. Rodriquez,"7,3-10C",Rock,,"Bryophytes, non-vascular",,Bryophytes,1,57,7,,6
16,"MJV3-15-BIO-VT-7,3-10C",2,112,35.236255,-115.797352,3/17/15,,Yamaguchi/Rodriquez,B. Rodriquez,"7,3-10C",Rock,,Anderson thornbush,Solanaceae,Lycium andersonii,1,57,7,,6
17,"MJV3-15-BIO-VT-7,3-10C",2,112,35.236255,-115.797352,3/17/15,,Yamaguchi/Rodriquez,B. Rodriquez,"7,3-10C",Rock,,,,Unknown 26A,2,57,7,,6
18,"MJV3-15-BIO-VT-7,3-10C",2,112,35.236255,-115.797352,3/17/15,,Yamaguchi/Rodriquez,B. Rodriquez,"7,3-10C",Rock,,,,Unknown 23A,1,57,7,,6
19,"MJV3-15-BIO-VT-7,3-10D",2,113,35.236255,-115.797341,3/17/15,,Yamaguchi/Rodriquez,B. Rodriquez,"7,3-10D",Rock,,Mulefat,Asteraceae,Baccharis salicina,2,15,5,,6
20,"MJV3-15-BIO-VT-7,3-10D",2,113,35.236255,-115.797341,3/17/15,,Yamaguchi/Rodriquez,B. Rodriquez,"7,3-10D",Rock,,Buckhorn cholla,Cactaceae,Cylindropuntia acanthocarpa,1,15,5,,6
21,"MJV3-15-BIO-VT-7,3-10D",2,113,35.236255,-115.797341,3/17/15,,Yamaguchi/Rodriquez,B. Rodriquez,"7,3-10D",Rock,,Forget me not,Boraginaceae,Cryptantha angustifolia,1,15,5,,6
22,"MJV3-15-BIO-VT-7,3-10D",2,113,35.236255,-115.797341,3/17/15,,Yamaguchi/Rodriquez,B. Rodriquez,"7,3-10D",Rock,,Low woollygrass,Poaceae,Dasyochloa pulchella,1,15,5,,6
23,"MJV3-15-BIO-VT-7,3-10D",2,113,35.236255,-115.797341,3/17/15,,Yamaguchi/Rodriquez,B. Rodriquez,"7,3-10D",Rock,,Star gilia,Polemoniaceae,Gilia stellata,1,15,5,,6
24,"MJV3-15-BIO-VT-7,3-10E",2,114,35.236236,-115.797264,3/17/15,,Yamaguchi/Rodriquez,B. Rodriquez,"7,3-10E",Rock,,Desert trumpet,Polygonaceae,Eriogonum inflatum,1,4,3,,6
25,"MJV3-15-BIO-VT-7,3-10E",2,114,35.236236,-115.797264,3/17/15,,Yamaguchi/Rodriquez,B. Rodriquez,"7,3-10E",Rock,,,,Unknown 24A,2,4,3,,6
26,"MJV3-15-BIO-VT-7,3-10E",2,114,35.236236,-115.797264,3/17/15,,Yamaguchi/Rodriquez,B. Rodriquez,"7,3-10E",Rock,,Dried root,,Dried root,1,4,3,,6
27,"MJV3-15-BIO-VT-7,3-10E",2,114,35.236236,-115.797264,3/17/15,,Yamaguchi/Rodriquez,B. Rodriquez,"7,3-10E",Rock,,"Bryophytes, non-vascular",,Bryophytes,1,4,3,,6
28,"MJV3-15-BIO-VT-7,3-10F",2,115,35.236226,-115.797220,3/17/15,,Yamaguchi/Rodriquez,B. Rodriquez,"7,3-10F",Rock,,Mulefat,Asteraceae,Baccharis salicina,1,2,2,"Tiny white bones found, pic 7,3-10E",6
29,"MJV3-15-BIO-VT-7,3-10F",2,115,35.236226,-115.797220,3/17/15,,Yamaguchi/Rodriquez,B. Rodriquez,"7,3-10F",Rock,,Desert pepperweed,Brassicaceae,Lepidium fremontii,1,2,2,,6
30,"MJV3-15-BIO-VT-7,3-10G",2,116,35.236244,-115.797154,3/17/15,,Yamaguchi/Rodriquez,B. Rodriquez,"7,3-10G",Rock,,grass,Poaceae,Poaceae**,2,4,2,,6
31,"MJV3-15-BIO-VT-7,3-10G",2,116,35.236244,-115.797154,3/17/15,,Yamaguchi/Rodriquez,B. Rodriquez,"7,3-10G",Rock,,Mulefat,Asteraceae,Baccharis salicina,2,4,2,Unk. 27A,6
