Observation #,Easting,Northing,GPS #,WP,Photo,Camera,Cover Class,Incline,Identify Plant,Number,Number Total (vascular),Number Unique,Plant Description,Abstract,Team,Correct ID?,Notes,QC,
"MJV8-16-BIO-VT-6,2-2A",609282.18 m E,3899859.31 m N,4,14,1128,L. Yang,Rock/gravel,N/A,Erodium cicutarium,4,47,13,Pinwheel,Invasive - Non native,Yang/Bedard,Y,,SM,
"MJV8-16-BIO-VT-6,2-2A",609282.18 m E,3899859.31 m N,4,14,1128,L. Yang,Rock/gravel,N/A,Poaceae**,14,47,13,Red Brome?,,Yang/Bedard,N,,,
"MJV8-16-BIO-VT-6,2-2A",609282.18 m E,3899859.31 m N,4,14,1131,L. Yang,Rock/gravel,N/A,Dasyochloa pulchella,2,47,13,Woollygrass,,Yang/Bedard,Y,,SM,
"MJV8-16-BIO-VT-6,2-2A",609282.18 m E,3899859.31 m N,4,14,1135,L. Yang,Rock/gravel,N/A,Gilia clokeyi,6,47,13,"Clokey's gilia, white flowers blooming",,Yang/Bedard,Y,,SM,
"MJV8-16-BIO-VT-6,2-2A",609282.18 m E,3899859.31 m N,4,14,1139,L. Yang,Rock/gravel,N/A,Monoptilon bellioides,5,47,13,Mohave desert star,,Yang/Bedard,Y,,SM,
"MJV8-16-BIO-VT-6,2-2A",609282.18 m E,3899859.31 m N,4,14,1142,L. Yang,Rock/gravel,N/A,Ephedra viridis,1,47,13,Mormon tea,,Yang/Bedard,Y,,SM,
"MJV8-16-BIO-VT-6,2-2A",609282.18 m E,3899859.31 m N,4,14,1145,L. Yang,Rock/gravel,N/A,Ambrosia dumosa,1,47,13,White bursage,,Yang/Bedard,Y,,SM,
"MJV8-16-BIO-VT-6,2-2A",609282.18 m E,3899859.31 m N,4,14,1146,L. Yang,Rock/gravel,N/A,Astragalus mohavensis,1,47,13,Milkvetch,,Yang/Bedard,Y,,SM,
"MJV8-16-BIO-VT-6,2-2A",609282.18 m E,3899859.31 m N,4,14,1147,L. Yang,Rock/gravel,N/A,Astragalus nuttallianus,3,47,13,Fuzzy milkvetch,,Yang/Bedard,Y,,SM,
"MJV8-16-BIO-VT-6,2-2A",609282.18 m E,3899859.31 m N,4,14,1150,L. Yang,Rock/gravel,N/A,Stylocline micropoides,5,47,13,Desert Nest Straw,,Yang/Bedard,Y,,SM,
"MJV8-16-BIO-VT-6,2-2A",609282.18 m E,3899859.31 m N,4,14,1151,L. Yang,Rock/gravel,N/A,Lepidium densiflorum,2,47,13,Young Common pepperweed,,Yang/Bedard,Y,,SM,
"MJV8-16-BIO-VT-6,2-2A",609282.18 m E,3899859.31 m N,4,14,1152,L. Yang,Rock/gravel,N/A,Cryptantha angustifolia,2,47,13,Forget me not,,Yang/Bedard,Y,,SM,
"MJV8-16-BIO-VT-6,2-2B",609284.25 m E,3899868.99 m N,4,18,1158,L. Yang,Rock/gravel,N/A,Unknown Bush,1,47,13,Possible young Ambrosia dumosa,,Yang/Bedard,N,,,
"MJV8-16-BIO-VT-6,2-2B",609284.25 m E,3899868.99 m N,4,18,1201,L. Yang,Rock/gravel,N/A,Ambrosia dumosa,1,19,7,White bursage,,Yang/Bedard,Y,,SM,
"MJV8-16-BIO-VT-6,2-2B",609284.25 m E,3899868.99 m N,4,18,1203,L. Yang,Rock/gravel,N/A,Opuntia basilaris,1,19,7,Beavertail Cactus,Blooming with lots of buds,Yang/Bedard,Y,,SM,
"MJV8-16-BIO-VT-6,2-2B",609284.25 m E,3899868.99 m N,4,18,1201,L. Yang,Rock/gravel,N/A,Poaceae**,4,19,7,Red Brome?,,Yang/Bedard,N,,,
"MJV8-16-BIO-VT-6,2-2B",609284.25 m E,3899868.99 m N,4,18,1202,L. Yang,Rock/gravel,N/A,Eriogonum inflatum,2,19,7,Desert trumpet,,Yang/Bedard,Y,,SM,
"MJV8-16-BIO-VT-6,2-2B",609284.25 m E,3899868.99 m N,4,18,1203,L. Yang,Rock/gravel,N/A,Dichelostemma capitatum,8,19,7,Blue Dick,,Yang/Bedard,Y,,SM,
"MJV8-16-BIO-VT-6,2-2B",609284.25 m E,3899868.99 m N,4,18,1208,L. Yang,Rock/gravel,N/A,Poaceae**,1,19,7,rush up through cactus,,Yang/Bedard,N,,,
"MJV8-16-BIO-VT-6,2-2B",609284.25 m E,3899868.99 m N,4,18,1211,L. Yang,Rock/gravel,N/A,Plantago ovata,2,19,7,Desert plantain,"Fuzzy thick, long leaves, bud on long stem",Yang/Bedard,Y,,SM,
"MJV8-16-BIO-VT-6,2-2C",609276.83 m E,3899873.34 m N,4,20,1243,L. Yang,Gravel,N/A,Eriogonum inflatum,1,21,6,Desert trumpet,dead or dying,Yang/Bedard,Y,,SM,
"MJV8-16-BIO-VT-6,2-2C",609276.83 m E,3899873.34 m N,4,20,1243,L. Yang,Gravel,N/A,Poaceae**,7,21,6,Red Brome?,,Yang/Bedard,N,,,
"MJV8-16-BIO-VT-6,2-2C",609276.83 m E,3899873.34 m N,4,20,1250,L. Yang,Gravel,N/A,Plantago ovata,4,21,6,Desert plantain,,Yang/Bedard,Y,,SM,
"MJV8-16-BIO-VT-6,2-2C",609276.83 m E,3899873.34 m N,4,20,1243,L. Yang,Gravel,N/A,Stylocline micropoides,4,21,6,Desert Nest Straw,,Yang/Bedard,Y,,SM,
"MJV8-16-BIO-VT-6,2-2C",609276.83 m E,3899873.34 m N,4,20,1243,L. Yang,Gravel,N/A,Sphaeralcea ambigua,1,21,6,Globe mallow,,Yang/Bedard,Y,,SM,
"MJV8-16-BIO-VT-6,2-2C",609276.83 m E,3899873.34 m N,4,20,1243,L. Yang,Gravel,N/A,Cryptantha angustifolia,4,21,6,Forget me not,,Yang/Bedard,Y,,SM,
"MJV8-16-BIO-VT-6,2-2D",609280.67 m E,3899871.83 m N,4,23,105,L. Yang,Gravel,N/A,Langloisia setosissima,2,22,5,Lilac sunbonnet,,Yang/Bedard,Y,,SM,
"MJV8-16-BIO-VT-6,2-2D",609280.67 m E,3899871.83 m N,4,23,102,L. Yang,Gravel,N/A,Poaceae**,8,22,5,Red Brome?,,Yang/Bedard,N,,,
"MJV8-16-BIO-VT-6,2-2D",609280.67 m E,3899871.83 m N,4,23,112,L. Yang,Gravel,N/A,Unknown Lepidium,3,22,5,red lily pad leaves,,Yang/Bedard,N,,,
"MJV8-16-BIO-VT-6,2-2D",609280.67 m E,3899871.83 m N,4,23,107,L. Yang,Gravel,N/A,Lepidium densiflorum,4,22,5,Common pepperweed ,,Yang/Bedard,Y,,SM,
"MJV8-16-BIO-VT-6,2-2D",609280.67 m E,3899871.83 m N,4,23,115,L. Yang,Gravel,N/A,Pectocarya penicillata,5,22,5,Hairy leaved comb bur,Borage Family,Yang/Bedard,Y,,SM,
"MJV8-16-BIO-VT-6,2-2E",609289.80 m E,3899884.70 m N,4,25,,L. Yang,Gravel,N/A,Poaceae**,14,25,5,Red Brome?,,Yang/Bedard,N,,,
"MJV8-16-BIO-VT-6,2-2E",609289.80 m E,3899884.70 m N,4,25,,L. Yang,Gravel,N/A,Monoptilon bellioides,4,25,5,Mojave desert star,,Yang/Bedard,Y,,SM,
"MJV8-16-BIO-VT-6,2-2E",609289.80 m E,3899884.70 m N,4,25,,L. Yang,Gravel,N/A,Cryptantha angustifolia,4,25,5,Forget me not,,Yang/Bedard,Y,,SM,
"MJV8-16-BIO-VT-6,2-2E",609289.80 m E,3899884.70 m N,4,25,,L. Yang,Gravel,N/A,Stylocline micropoides,1,25,5,Desert Nest Straw,,Yang/Bedard,Y,,SM,
"MJV8-16-BIO-VT-6,2-2E",609289.80 m E,3899884.70 m N,4,25,,L. Yang,Gravel,N/A,Plantago ovata,2,25,5,Desert plantain,,Yang/Bedard,Y,,SM,
"MJV8-16-BIO-VT-6,2-2F",609284.25 m E,3899891.84 m N,4,28,,L. Yang,Rock/gravel,N/A,Poacease**,20,31,5,Red Brome?,,Yang/Bedard,N,,,
"MJV8-16-BIO-VT-6,2-2F",609284.25 m E,3899891.84 m N,4,28,,L. Yang,Rock/gravel,N/A,Cryptantha angustifolia,7,31,5,Forget me not,,Yang/Bedard,Y,,SM,
"MJV8-16-BIO-VT-6,2-2F",609284.25 m E,3899891.84 m N,4,28,,L. Yang,Rock/gravel,N/A,Ferocactus cylindraceus,1,31,5,Barrel cactus,,Yang/Bedard,Y,,SM,
"MJV8-16-BIO-VT-6,2-2F",609284.25 m E,3899891.84 m N,4,28,,L. Yang,Rock/gravel,N/A,Plantago ovata,2,31,5,Desert plantain,,Yang/Bedard,Y,,SM,
"MJV8-16-BIO-VT-6,2-2F",609284.25 m E,3899891.84 m N,4,28,,L. Yang,Rock/gravel,N/A,Grayia spinosa,1,31,5,Desert hopsage,,Yang/Bedard,Y,,SM,
"MJV8-16-BIO-VT-6,2-2G",609285.32 m E,3899893.74 m N,4,29,,L. Yang,Rock/gravel,N/A,Ephedra viridis,1,28,5,Mormon tea,All other plants under Ephedra,Yang/Bedard,Y,,SM,
