Object_ID,Observation,GPS,Waypoint,Latitude,Longitude,Date,Note_Taker,Team_Members,Camera_Phone,Picture_ID,Cover_Class,Average_Slope,Common_Name,Family,Genus_Species,Number,Total_Vascular_No_Grasses,Number_Unique,Abstract_Notes,Notebook_ID
,"MJV11-17-BIO-VT-9,1-A1",3,467,35.235399,-115.795204,1/17/17,Sarah,Takuma/Sarah,Takuma,,litter,,Globe mallow,Malvaceae,Sphaeralcea ambigua,2,3,2,White lichen also present,13
,"MJV11-17-BIO-VT-9,1-A1",3,467,35.235399,-115.795204,1/17/17,Sarah,Takuma/Sarah,Takuma,,litter,,Beavertail cactus,Cactaceae,Opuntia basilaris,1,3,2,White lichen also present,13
,"MJV11-17-BIO-VT-9,1-A1",3,467,35.235399,-115.795204,1/17/17,Sarah,Takuma/Sarah,Takuma,,litter,,Red brome,Poaceae,Bromus madritensis ssp. Rubens,TNTC,3,2,White lichen also present,13
,"MJV11-17-BIO-VT-9,1-A2",3,468,35.235397,-115.795167,1/17/17,Sarah,Takuma/Sarah,Takuma,,live plant,,Saltbush,Chenopodiaceae,Atriplex polycarpa,2,3,2,Rabbit scat,13
,"MJV11-17-BIO-VT-9,1-A2",3,468,35.235397,-115.795167,1/17/17,Sarah,Takuma/Sarah,Takuma,,live plant,,Desert trumpet,Polygonaceae,Eriogonum inflatum,1,3,2,Rabbit scat,13
,"MJV11-17-BIO-VT-9,1-A2",3,468,35.235397,-115.795167,1/17/17,Sarah,Takuma/Sarah,Takuma,,live plant,,Red brome,Poaceae,Bromus madritensis ssp. Rubens,TNTC,3,2,Rabbit scat,13
,"MJV11-17-BIO-VT-9,1-A2",3,468,35.235397,-115.795167,1/17/17,Sarah,Takuma/Sarah,Takuma,,live plant,,Spiky top grass,Poaceae,Unk ,2,3,2,Rabbit scat,13
,"MJV11-17-BIO-VT-9,1-A2",3,468,35.235397,-115.795167,1/17/17,Sarah,Takuma/Sarah,Takuma,,live plant,,Seedlings,null,Too young to ID,TNTC,3,2,Rabbit scat,13
,"MJV11-17-BIO-VT-9,1-A3",3,469,35.235401,-115.795099,1/17/17,Sarah,Takuma/Sarah,Takuma,,live plant,,Creosote,Zygophyllaceae,Larrea tridentata,1,2,2,Rabbit scat,13
,"MJV11-17-BIO-VT-9,1-A3",3,469,35.235401,-115.795099,1/17/17,Sarah,Takuma/Sarah,Takuma,,live plant,,Saltbush,Chenopodiaceae,Atriplex polycarpa,1,2,2,Rabbit scat,13
