Object_ID,Observation,GPS,Waypoint,Latitude,Longitude,Date,Note_Taker,Team_Members,Camera_Phone,Picture_ID,Cover_Class,Average_Slope,Common_Name,Family,Genus_Species,Number,Total_Vascular_No_Grasses,Number_Unique,Abstract_Notes,Notebook_ID
,"MJV12-17-BIO-VT-6,4-1A",1,843,35.237582,-115.798938,3/19/17,Stacy,"Stacy, Tatiana, Sheila",Sheila,"MJV12-17-BIO-VT-6,4-1A",Live plant,,Mulefat,Asteraceae,Baccharis salicina,1,14,3,Stream channel,4
,"MJV12-17-BIO-VT-6,4-1A",1,843,35.237582,-115.798938,3/19/17,Stacy,"Stacy, Tatiana, Sheila",Sheila,"MJV12-17-BIO-VT-6,4-1A",Live plant,,Mojave popcornflower,Boraginaceae,Plagiobothrys jonesii,10,14,3,Stream channel,4
,"MJV12-17-BIO-VT-6,4-1A",1,843,35.237582,-115.798938,3/19/17,Stacy,"Stacy, Tatiana, Sheila",Sheila,"MJV12-17-BIO-VT-6,4-1A",Live plant,,Red brome,Poaceae,Bromus madritensis ssp. Rubens,TNTC,14,3,Stream channel,4
,"MJV12-17-BIO-VT-6,4-1A",1,843,35.237582,-115.798938,3/19/17,Stacy,"Stacy, Tatiana, Sheila",Sheila,"MJV12-17-BIO-VT-6,4-1A",Live plant,,Seedlings,null,Too young to ID,3,14,3,Stream channel,4
,"MJV12-17-BIO-VT-6,4-1B",1,844,35.237644,-115.798938,3/19/17,Stacy,"Stacy, Tatiana, Sheila",Sheila,"MJV12-17-BIO-VT-6,4-1B",Live plant,,Yerba mansa,Saururaceae,Anemopsis californica,TNTC,TNTC,TNTC,,4
,"MJV12-17-BIO-VT-6,4-1B",1,844,35.237644,-115.798938,3/19/17,Stacy,"Stacy, Tatiana, Sheila",Sheila,"MJV12-17-BIO-VT-6,4-1B",Live plant,,Mulefat,Asteraceae,Baccharis salicina,2,TNTC,TNTC,,4
,"MJV12-17-BIO-VT-6,4-1B",1,844,35.237644,-115.798938,3/19/17,Stacy,"Stacy, Tatiana, Sheila",Sheila,"MJV12-17-BIO-VT-6,4-1B",Live plant,,Scalebroom,Asteraceae,Lepidospartum squamatum,2,TNTC,TNTC,,4
,"MJV12-17-BIO-VT-6,4-1B",1,844,35.237644,-115.798938,3/19/17,Stacy,"Stacy, Tatiana, Sheila",Sheila,"MJV12-17-BIO-VT-6,4-1B",Live plant,,Common reed,Poaceae,Phragmites australis,TNTC,TNTC,TNTC,,4
,"MJV12-17-BIO-VT-6,4-1C",1,845,35.237676,-115.798927,3/19/17,Stacy,"Stacy, Tatiana, Sheila",Sheila,"MJV12-17-BIO-VT-6,4-1C",Live plant,,Mulefat,Asteraceae,Baccharis salicina,4,28,4,Stream channel,4
,"MJV12-17-BIO-VT-6,4-1C",1,845,35.237676,-115.798927,3/19/17,Stacy,"Stacy, Tatiana, Sheila",Sheila,"MJV12-17-BIO-VT-6,4-1C",Live plant,,Pepperweed,Brassicaceae,Lepidium densiflorum,20,28,4,Stream channel,4
,"MJV12-17-BIO-VT-6,4-1C",1,845,35.237676,-115.798927,3/19/17,Stacy,"Stacy, Tatiana, Sheila",Sheila,"MJV12-17-BIO-VT-6,4-1C",Live plant,,Red brome,Poaceae,Bromus madritensis ssp. Rubens,TNTC,28,4,Stream channel,4
,"MJV12-17-BIO-VT-6,4-1C",1,845,35.237676,-115.798927,3/19/17,Stacy,"Stacy, Tatiana, Sheila",Sheila,"MJV12-17-BIO-VT-6,4-1C",Live plant,,Mojave popcornflower,Boraginaceae,Plagiobothrys jonesii,3,28,4,Stream channel,4
,"MJV12-17-BIO-VT-6,4-1C",1,845,35.237676,-115.798927,3/19/17,Stacy,"Stacy, Tatiana, Sheila",Sheila,"MJV12-17-BIO-VT-6,4-1C",Live plant,,Bermuda-like grass,#N/A,#N/A,TNTC,28,4,Stream channel,4
,"MJV12-17-BIO-VT-6,4-1C",1,845,35.237676,-115.798927,3/19/17,Stacy,"Stacy, Tatiana, Sheila",Sheila,"MJV12-17-BIO-VT-6,4-1C",Live plant,,Seedlings,null,Too young to ID,10,28,4,Stream channel,4
,"MJV12-17-BIO-VT-6,4-1D",1,846,35.237710,-115.798948,3/19/17,Stacy,"Stacy, Tatiana, Sheila",Sheila,"MJV12-17-BIO-VT-6,4-1D",Gravel,,Mulefat,Asteraceae,Baccharis salicina,1,7,4,,4
,"MJV12-17-BIO-VT-6,4-1D",1,846,35.237710,-115.798948,3/19/17,Stacy,"Stacy, Tatiana, Sheila",Sheila,"MJV12-17-BIO-VT-6,4-1D",Gravel,,Mojave popcornflower,Boraginaceae,Plagiobothrys jonesii,4,7,4,,4
,"MJV12-17-BIO-VT-6,4-1D",1,846,35.237710,-115.798948,3/19/17,Stacy,"Stacy, Tatiana, Sheila",Sheila,"MJV12-17-BIO-VT-6,4-1D",Gravel,,Seedlings,null,Too young to ID,10,7,4,,4
,"MJV12-17-BIO-VT-6,4-1D",1,846,35.237710,-115.798948,3/19/17,Stacy,"Stacy, Tatiana, Sheila",Sheila,"MJV12-17-BIO-VT-6,4-1D",Gravel,,Pepperweed,Brassicaceae,Lepidium densiflorum,1,7,4,,4
,"MJV12-17-BIO-VT-6,4-1D",1,846,35.237710,-115.798948,3/19/17,Stacy,"Stacy, Tatiana, Sheila",Sheila,"MJV12-17-BIO-VT-6,4-1D",Gravel,,Bermuda-like grass,#N/A,#N/A,10,7,4,,4
,"MJV12-17-BIO-VT-6,4-1D",1,846,35.237710,-115.798948,3/19/17,Stacy,"Stacy, Tatiana, Sheila",Sheila,"MJV12-17-BIO-VT-6,4-1D",Gravel,,Mormon tea,Ephedraceae,Ephedra viridis,1,7,4,,4
,"MJV12-17-BIO-VT-6,4-1E",1,847,35.237769,-115.798971,3/19/17,Stacy,"Stacy, Tatiana, Sheila",Sheila,"MJV12-17-BIO-VT-6,4-1E",Gravel,,Skeleton weed,Polygonaceae,Eriogonum deflexum,52,55,4,,4
,"MJV12-17-BIO-VT-6,4-1E",1,847,35.237769,-115.798971,3/19/17,Stacy,"Stacy, Tatiana, Sheila",Sheila,"MJV12-17-BIO-VT-6,4-1E",Gravel,,Bermuda-like grass,#N/A,#N/A,20,55,4,,4
,"MJV12-17-BIO-VT-6,4-1E",1,847,35.237769,-115.798971,3/19/17,Stacy,"Stacy, Tatiana, Sheila",Sheila,"MJV12-17-BIO-VT-6,4-1E",Gravel,,Pepperweed,Brassicaceae,Lepidium densiflorum,1,55,4,,4
,"MJV12-17-BIO-VT-6,4-1E",1,847,35.237769,-115.798971,3/19/17,Stacy,"Stacy, Tatiana, Sheila",Sheila,"MJV12-17-BIO-VT-6,4-1E",Gravel,,Mulefat,Asteraceae,Baccharis salicina,2,55,4,,4
,"MJV12-17-BIO-VT-6,4-1E",1,847,35.237769,-115.798971,3/19/17,Stacy,"Stacy, Tatiana, Sheila",Sheila,"MJV12-17-BIO-VT-6,4-1E",Gravel,,Red brome,Poaceae,Bromus madritensis ssp. Rubens,TNTC,55,4,,4
,"MJV12-17-BIO-VT-6,4-1E",1,847,35.237769,-115.798971,3/19/17,Stacy,"Stacy, Tatiana, Sheila",Sheila,"MJV12-17-BIO-VT-6,4-1E",Gravel,,Mojave popcornflower,Boraginaceae,Plagiobothrys jonesii,2,55,4,,4
