Observation #,Easting,Northing,GPS #,Waypoint,Photo,Camera,Cover Class,Incline,Family,Identify Plant,Match Found?,Match Status?,genus,species,LAT,LONG,Number,Number Total (vascular),Number Unique,Plant Description,Abstract,Team,Correct ID,Notes,QC
"MJV1-14-BIO-VT-1,1-10E",608866.82 m E,3899708.32 m N,,,Mjv114_bio_vt_kjs_bromus_madritensis_rubens.jpg,,Gravel (2-50mm),~10°,Poaceae,Bromus Madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 4.322""","-115° 48' 12.838""",6,10,2,"Red Brome, grass, non-native invasive species","Sunny day, little wind","Fisher, Macias, Baughman",Y,,SM
"MJV1-14-BIO-VT-1,1-1C",608774.31 m E,3899711.42 m N,,,"MJV1-14-BIO-VT-1,1-1C.jpg",,Sand/Rock,0,Poaceae,Bromus Madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 4.459""","-115° 48' 16.495""",3,5,3,"Red Brome, grass, non-native invasive species","Sandy substrate with several dark and light boulders, alkaline minerals visible","Espericueta, Rodriguez",,,
"MJV1-14-BIO-VT-1,1-1F",608776.34 m E,3899717.33 m N,,,"MJV1-14-BIO-VT-1,1-1F.jpg",,Rock,~5°,Poaceae,Bromus Madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 4.650""","-115° 48' 16.412""",1,7,3,"Red Brome, grass, non-native invasive species",Mostly very large boulders with small plant and water areas,"Espericueta, Rodriguez",,,
"MJV1-14-BIO-VT-1,1-1G",608777.85 m E,3899720.12 m N,,,"MJV1-14-BIO-VT-1,1-1G.jpg",,Rock/Gravel,~1°,Poaceae,Bromus Madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 4.740""","-115° 48' 16.351""",1,39,5,"Red Brome, grass, non-native invasive species",Boulders upslope from surface water and gravel,"Espericueta, Rodriguez",,,
"MJV1-14-BIO-VT-1,1-2G",608779.08 m E ,3899720.00 m N,,,N,,Live Plants,?,Poaceae,Bromus Madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 4.736""","-115° 48' 16.303""",1,6,5,"Red Brome, grass, non-native invasive species",,"Espericueta, Rodriguez",,,
"MJV1-14-BIO-VT-1,1-2H",608782.44 m E,3899724.06 m N,,,"MJV1-14-BIO-VT-1,1-2H.jpg",,Gravel (2-50mm),0,Poaceae,Bromus Madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 4.866""","-115° 48' 16.168""",4,14,5,"Red Brome, grass, non-native invasive species",Gravel with granitic and basaltic fragments (cobble-boulders),"Espericueta, Rodriguez",,,
"MJV1-14-BIO-VT-1,1-2I",608783.04 m E,3899727.95 m N,,,"MJV1-14-BIO-VT-1,1-2I.jpg",,Rock,~5°,Poaceae,Bromus Madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 4.992""","-115° 48' 16.142""",29,33,4,"Red Brome, grass, non-native invasive species","Numerous basalt cobbles-boulders, smaller granitic fragments (angular), slight incline.","Espericueta, Rodriguez",,,
"MJV1-14-BIO-VT-1,1-2J",608781.14 m E,3899726.92 m N,,,"MJV1-14-BIO-VT-1,1-2J.jpg",,Live Plants,~18°,Poaceae,Bromus Madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 4.959""","-115° 48' 16.218""",12,16,3,"Red Brome, grass, non-native invasive species",Boulders on slope,"Espericueta, Rodriguez",,,
"MJV1-14-BIO-VT-1,1-7D",608833.09 m E,3899705.70 m N,,,Mjv114_bio_vt_kjs_bromus_madritensis_rubens.jpg,,Gravel (2-50mm),~33°,Poaceae,Bromus Madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 4.250""","-115° 48' 14.173""",3,7,4,"Red Brome, grass, non-native invasive species","Sunny day, little wind","Fisher, Macias, Baughman",,,
"MJV1-14-BIO-VT-1,1-7E",608834.00 m E,3899705.71 m N,,,Mjv114_bio_vt_kjs_bromus_madritensis_rubens.jpg,,Rock (>50mm),~31°,Poaceae,Bromus Madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 4.250""","-115° 48' 14.137""",13,17,4,"Red Brome, grass, non-native invasive species","Sunny day, little wind","Fisher, Macias, Baughman",,,
