Object_ID,Observation,GPS,Waypoint,Latitude,Longitude,Date,Note_Taker,Team_Members,Camera_Phone,Picture_ID,Cover_Class,Average_Slope,Common_Name,Family,Genus_Species,Number,Total_Vascular_No_Grasses,Number_Unique,Abstract_Notes,Notebook_ID
,"MJV19-19-BIO-VT-4,6-10A",2,373,35.239447,-115.801278,1/6/19,Luis,"Deneb, Luis, Rachel",Rachel,11:08,Basalt cobble,,Creosote bush,Zygophyllaceae,Larrea tridentata,1,1,1,,
,"MJV19-19-BIO-VT-4,6-10A",2,373,35.239447,-115.801278,1/6/19,Luis,"Deneb, Luis, Rachel",Rachel,11:08,Basalt cobble,,Red brome,Poaceae,Bromus madritensis ssp. Rubens,TNTC,1,1,,
,"MJV19-19-BIO-VT-4,6-10B",2,374,35.239395,-115.801226,1/6/19,Luis,"Deneb, Luis, Rachel",Rachel,11:10,Basalt cobble,,Red brome,Poaceae,Bromus madritensis ssp. Rubens,TNTC,2,1,,
,"MJV19-19-BIO-VT-4,6-10B",2,374,35.239395,-115.801226,1/6/19,Luis,"Deneb, Luis, Rachel",Rachel,11:10,Basalt cobble,,Spiny herb,Polygonaceae,Chorizanthe rigida,2,2,1,,
,"MJV19-19-BIO-VT-4,6-10C",2,375,35.239373,-115.801196,1/6/19,Luis,"Deneb, Luis, Rachel",Rachel,11:12,Sand,,Mojave yucca,Agavaceae,Yucca schidigera,2,3,2,,
,"MJV19-19-BIO-VT-4,6-10C",2,375,35.239373,-115.801196,1/6/19,Luis,"Deneb, Luis, Rachel",Rachel,11:12,Sand,,Creosote bush,Zygophyllaceae,Larrea tridentata,1,3,2,,
,"MJV19-19-BIO-VT-4,6-10C",2,375,35.239373,-115.801196,1/6/19,Luis,"Deneb, Luis, Rachel",Rachel,11:12,Sand,,Red brome,Poaceae,Bromus madritensis ssp. Rubens,TNTC,3,2,,
,"MJV19-19-BIO-VT-4,6-10D",2,376,35.239316,-115.801220,1/6/19,Luis,"Deneb, Luis, Rachel",Rachel,11:15,Basalt cobble,,Spiny herb,Polygonaceae,Chorizanthe rigida,2,2,1,,
,"MJV19-19-BIO-VT-4,6-10D",2,376,35.239316,-115.801220,1/6/19,Luis,"Deneb, Luis, Rachel",Rachel,11:15,Basalt cobble,,Red brome,Poaceae,Bromus madritensis ssp. Rubens,TNTC,2,1,,
,"MJV19-19-BIO-VT-4,6-10E",2,377,35.239254,-115.801222,1/6/19,Luis,"Deneb, Luis, Rachel",Rachel,11:23,Basalt cobble,,Red brome,Poaceae,Bromus madritensis ssp. Rubens,3,0,0,,
,"MJV19-19-BIO-VT-4,6-10F",2,378,35.239209,-115.801212,1/6/19,Luis,"Deneb, Luis, Rachel",Rachel,11:24,Sand,,Mojave yucca,Agavaceae,Yucca schidigera,2,2,1,,
,"MJV19-19-BIO-VT-4,6-10G",2,379,35.239170,-115.801234,1/6/19,Luis,"Deneb, Luis, Rachel",Rachel,11:28,Basalt pebble,,Creosote bush,Zygophyllaceae,Larrea tridentata,1,2,2,Burro scat,
,"MJV19-19-BIO-VT-4,6-10G",2,379,35.239170,-115.801234,1/6/19,Luis,"Deneb, Luis, Rachel",Rachel,11:28,Basalt pebble,,Barrel cactus,Cactaceae,Ferocactus cylindraceus,1,2,2,Burro scat,
,"MJV19-19-BIO-VT-4,6-10G",2,379,35.239170,-115.801234,1/6/19,Luis,"Deneb, Luis, Rachel",Rachel,11:28,Basalt pebble,,Red brome,Poaceae,Bromus madritensis ssp. Rubens,TNTC,2,2,Burro scat,
,"MJV19-19-BIO-VT-4,6-10H",2,380,35.239124,-115.801239,1/6/19,Luis,"Deneb, Luis, Rachel",Rachel,11:31,Sand,,Red brome,Poaceae,Bromus madritensis ssp. Rubens,TNTC,0,0,,
,"MJV19-19-BIO-VT-4,6-10I",2,381,35.239094,-115.801267,1/6/19,Luis,"Deneb, Luis, Rachel",Rachel,11:34,Sand,,Barrel cactus,Cactaceae,Ferocactus cylindraceus,1,10,5,,
,"MJV19-19-BIO-VT-4,6-10I",2,381,35.239094,-115.801267,1/6/19,Luis,"Deneb, Luis, Rachel",Rachel,11:34,Sand,,Hedgehog cactus,Cactaceae,Echinocereus engelmannii,1,10,5,,
,"MJV19-19-BIO-VT-4,6-10I",2,381,35.239094,-115.801267,1/6/19,Luis,"Deneb, Luis, Rachel",Rachel,11:34,Sand,,Creosote bush,Zygophyllaceae,Larrea tridentata,1,10,5,,
,"MJV19-19-BIO-VT-4,6-10I",2,381,35.239094,-115.801267,1/6/19,Luis,"Deneb, Luis, Rachel",Rachel,11:34,Sand,,Spiny herb,Polygonaceae,Chorizanthe rigida,6,10,5,,
,"MJV19-19-BIO-VT-4,6-10I",2,381,35.239094,-115.801267,1/6/19,Luis,"Deneb, Luis, Rachel",Rachel,11:34,Sand,,Mormon tea,Ephedraceae,Ephedra viridis,1,10,5,,
,"MJV19-19-BIO-VT-4,6-10I",2,381,35.239094,-115.801267,1/6/19,Luis,"Deneb, Luis, Rachel",Rachel,11:34,Sand,,Red brome,Poaceae,Bromus madritensis ssp. Rubens,TNTC,10,5,,
,"MJV19-19-BIO-VT-4,6-10J",2,382,35.239067,-115.801267,1/6/19,Luis,"Deneb, Luis, Rachel",Rachel,11:37,Basalt cobble,,Mormon tea,Ephedraceae,Ephedra viridis,1,1,1,,
,"MJV19-19-BIO-VT-4,6-10J",2,382,35.239067,-115.801267,1/6/19,Luis,"Deneb, Luis, Rachel",Rachel,11:37,Basalt cobble,,Red brome,Poaceae,Bromus madritensis ssp. Rubens,TNTC,1,1,,
,"MJV19-19-BIO-VT-4,6-8A",2,383,35.239466,-115.800952,1/6/19,Luis,"Deneb, Luis, Rachel",Rachel,11:47,Basalt cobble,,Red brome,Poaceae,Bromus madritensis ssp. Rubens,TNTC,0,0,,
,"MJV19-19-BIO-VT-4,6-8B",2,384,35.239485,-115.800961,1/6/19,Luis,"Deneb, Luis, Rachel",Rachel,11:49,Basalt cobble,,Spiny herb,Polygonaceae,Chorizanthe rigida,2,2,1,,
,"MJV19-19-BIO-VT-4,6-8B",2,384,35.239485,-115.800961,1/6/19,Luis,"Deneb, Luis, Rachel",Rachel,11:49,Basalt cobble,,Red brome,Poaceae,Bromus madritensis ssp. Rubens,TNTC,2,1,,
,"MJV19-19-BIO-VT-4,6-8C",2,385,35.239541,-115.800965,1/6/19,Luis,"Deneb, Luis, Rachel",Rachel,11:51,Basalt cobble,,Mojave yucca,Agavaceae,Yucca schidigera,1,1,1,,
,"MJV19-19-BIO-VT-4,6-8C",2,385,35.239541,-115.800965,1/6/19,Luis,"Deneb, Luis, Rachel",Rachel,11:51,Basalt cobble,,Red brome,Poaceae,Bromus madritensis ssp. Rubens,TNTC,1,1,,
,"MJV19-19-BIO-VT-4,6-8D",2,386,35.239568,-115.800985,1/6/19,Luis,"Deneb, Luis, Rachel",Rachel,11:53,Basalt pebble,,Creosote bush,Zygophyllaceae,Larrea tridentata,2,2,1,,
