,Genus_Species,Latitude,Longitude
1,Abronia_villosa,35.23458306,-114.1970139
2,Acmispon_maritimus,35.23819694,-114.201205
3,Acmispon_maritimus,35.23828611,-114.20129
4,Acmispon_maritimus,35.238435,-114.2014131
5,Acmispon_maritimus,35.23847083,-114.2016969
6,Acmispon_maritimus,35.23854611,-114.2018681
7,Acmispon_maritimus,35.23862389,-114.2020069
8,Acmispon_maritimus,35.23870389,-114.2013139
9,Acmispon_maritimus,35.23871389,-114.2010803
10,Acmispon_maritimus,35.23875889,-114.201355
11,Acmispon_maritimus,35.23885194,-114.2014431
12,Acmispon_maritimus,35.238885,-114.2014742
13,Acmispon_maritimus,35.23891889,-114.2014919
14,Ambrosia_dumosa,35.231777,-115.79363
15,Ambrosia_dumosa,35.231849,-115.794288
16,Ambrosia_dumosa,35.231872,-115.796144
17,Ambrosia_dumosa,35.231875,-115.796429
18,Ambrosia_dumosa,35.231887,-115.796097
19,Ambrosia_dumosa,35.231922,-115.795846
20,Ambrosia_dumosa,35.231959,-115.794649
21,Ambrosia_dumosa,35.231962,-115.793824
22,Ambrosia_dumosa,35.23198,-115.796373
23,Ambrosia_dumosa,35.23198,-115.794192
24,Ambrosia_dumosa,35.231985,-115.794073
25,Ambrosia_dumosa,35.232066,-115.79398
26,Ambrosia_dumosa,35.232085,-115.793802
27,Ambrosia_dumosa,35.232089,-115.793949
28,Ambrosia_dumosa,35.232096,-115.796387
29,Ambrosia_dumosa,35.232097,-115.796396
30,Ambrosia_dumosa,35.232118,-115.795822
31,Ambrosia_dumosa,35.232126,-115.795973
32,Ambrosia_dumosa,35.232138,-115.796674
33,Ambrosia_dumosa,35.232161,-115.793744
34,Ambrosia_dumosa,35.232171,-115.795969
35,Ambrosia_dumosa,35.232195,-115.796671
36,Ambrosia_dumosa,35.232208,-115.793937
37,Ambrosia_dumosa,35.232232,-115.796751
38,Ambrosia_dumosa,35.232249,-115.794328
39,Ambrosia_dumosa,35.23225,-115.796519
40,Ambrosia_dumosa,35.232252,-115.793815
41,Ambrosia_dumosa,35.232264,-115.793696
42,Ambrosia_dumosa,35.232287,-115.79409
43,Ambrosia_dumosa,35.23238,-115.793578
44,Ambrosia_dumosa,35.232405,-115.79462
45,Ambrosia_dumosa,35.232436,-115.795725
46,Ambrosia_dumosa,35.232442,-115.796627
