"Easting","Northing","Latitude","Longitude","Family","Cover_Class","Number","Genus_species"
NA,NA,"35.23457","-115.80306","Chenopodiaceae","Dirt","3","Atriplex polycarpa"
NA,NA,"35.234584","-115.803002","Poaceae","Rock","2","Bromus madritensis ssp. rubens"
NA,NA,"35.234584","-115.803002","Zygophyllaceae","Rock","1","Larrea tridentata"
NA,NA,"35.234584","-115.803002","Asteraceae","Rock","1","Eriophyllum wallacei"
NA,NA,"35.234584","-115.803002","Fabaceae","Rock","1","Astragalus nuttallianus var. imperfectus"
NA,NA,"35.234583","-115.802986","Poaceae","Rock","30","Bromus madritensis ssp. rubens"
NA,NA,"35.234586","-115.802919","Unknown","Gravel","10","Bromus madritensis ssp. rubens"
NA,NA,"35.234586","-115.802919","Zygophyllaceae","Gravel","1","Larrea tridentata"
NA,NA,"35.234586","-115.802919","Poaceae","Gravel","1","Unknown"
NA,NA,"35.234584","-115.802868","Zygophyllaceae","Rock","1","Larrea tridentata"
NA,NA,"35.234584","-115.802868","Poaceae","Rock","1","Bromus madritensis ssp. rubens"
NA,NA,"35.23462","-115.803079","Polygonaceae","Live Plant","2","Eriogonum inflatum"
NA,NA,"35.23462","-115.803079","Poaceae","Live Plant","TNTC","Bromus madritensis ssp. rubens"
NA,NA,"35.234647","-115.802998","Poaceae","Rock","15","Bromus madritensis ssp. rubens"
NA,NA,"35.234658","-115.802959","Poaceae","Gravel","10","Bromus madritensis ssp. rubens"
NA,NA,"35.234658","-115.802959","Cactaceae","Gravel","1","Ferocactus cylindraceus"
NA,NA,"35.234664","-115.802934","Poaceae","Rock","1","Bromus madritensis ssp. rubens"
NA,NA,"35.234681","-115.802868","Agavaceae","Litter","1","Yucca schidigera"
NA,NA,"35.234729","-115.803044","Poaceae","Rock","20","Bromus madritensis ssp. rubens"
NA,NA,"35.234742","-115.802997","Poaceae","Rock","20","Bromus madritensis ssp. rubens"
NA,NA,"35.234736","-115.802961","Polygonaceae","Gravel","4","Eriogonum inflatum"
NA,NA,"35.234736","-115.802961","Poaceae","Gravel","4","Bromus madritensis ssp. rubens"
NA,NA,"35.234744","-115.802896","Cactaceae","Rock","1","Ferocactus cylindraceus"
NA,NA,"35.234744","-115.802896","Poaceae","Rock","5","Bromus madritensis ssp. rubens"
NA,NA,"35.234749","-115.802828","Cactaceae","Rock","1","Ferocactus cylindraceus"
NA,NA,"35.234749","-115.802828","Solanaceae","Rock","1","Lycium andersonii"
NA,NA,"35.234749","-115.802828","Poaceae","Rock","5","Bromus madritensis ssp. rubens"
NA,NA,"35.234749","-115.802828","Malvaceae","Rock","2","Sphaeralcea ambigua"
NA,NA,"35.235068","-115.803198","Poaceae","Rock","10","Bromus madritensis ssp. rubens"
NA,NA,"35.235075","-115.803134","Solanaceae","Rock","1","Lycium andersonii"
NA,NA,"35.235071","-115.803084","Solanaceae","Litter","1","Lycium andersonii"
NA,NA,"35.235071","-115.803084","Malvaceae","Litter","1","Sphaeralcea ambigua"
NA,NA,"35.235071","-115.803084","Geraniaceae","Litter","8","Erodium texanum"
NA,NA,"35.235086","-115.803031","Poaceae","Rock","2","Unknown"
NA,NA,"35.235105","-115.802979","Poaceae","Rock","15","Unknown"
NA,NA,"35.235105","-115.802979","Polygonaceae","Rock","1","Eriogonum inflatum"
NA,NA,"35.234939","-115.803077","Poaceae","Gravel","1","Unknown"
NA,NA,"35.235195","-115.803203","Solanaceae","Plant","1","Lycium andersonii"
NA,NA,"35.235195","-115.803203","Boraginaceae","Plant","1","Cryptantha angustifolia"
NA,NA,"35.235193","-115.803158","Poaceae","Gravel","3","Unknown"
NA,NA,"35.235193","-115.803158","Solanaceae","Gravel","1","Lycium andersonii"
NA,NA,"35.235194","-115.803106","Poaceae","Gravel","2","Unknown"
NA,NA,"35.235232","-115.803172","Poaceae","Rock","5","Bromus madritensis ssp. rubens"
NA,NA,"35.235234","-115.803119","Solanaceae","Plant","2","Lycium andersonii"
NA,NA,"35.235276","-115.803066","Solanaceae","Plant","1","Lycium andersonii"
NA,NA,"35.235276","-115.803066","Poaceae","Plant","5","Unknown"
NA,NA,"35.235274","-115.802993","Cactaceae","Gravel","1","Opuntia bigelovii"
NA,NA,"35.235274","-115.802993","Poaceae","Gravel","5","Unknown"
NA,NA,"35.235271","-115.802953","Agavaceae","Rock","1","Yucca schidigera"
NA,NA,"35.235271","-115.802953","Cactaceae","Rock","1","Opuntia bigelovii"
NA,NA,"35.235271","-115.802953","Poaceae","Rock","10","Unknown"
NA,NA,"35.235357","-115.803322","Poaceae","Plant","100","Bromus madritensis ssp. rubens"
NA,NA,"35.235417","-115.803222","Cactaceae","Rock","1","Echinocereus engelmannii"
NA,NA,"35.235417","-115.803222","Poaceae","Rock","20","Bromus madritensis ssp. rubens"
NA,NA,"35.235417","-115.803222","Ephedraceae","Rock","1","Ephedra viridis"
NA,NA,"35.235449","-115.803148","Poaceae",NA,"100","Bromus madritensis ssp. rubens"
NA,NA,"35.235449","-115.803148","Geraniaceae",NA,"1","Erodium texanum"
NA,NA,"35.235449","-115.803148","Brassicaceae",NA,"1","Lepidium densiflorum"
NA,NA,"35.235475","-115.802939","Poaceae","Gravel","1","Unknown"
NA,NA,"35.234562","-115.803112","Cactaceae","Gravel","1","Echinocereus engelmannii"
NA,NA,"35.234562","-115.803112","Poaceae","Gravel","1","Unknown"
NA,NA,"35.23456","-115.803206","Poaceae","Rock","20","Bromus madritensis ssp. rubens"
NA,NA,"35.23456","-115.803206","Asteraceae","Rock","6","Perityle emoryi"
NA,NA,"35.23456","-115.803206","Poaceae","Rock","12","Unknown"
NA,NA,"35.23456","-115.803206","Boraginaceae","Rock","1","Cryptantha angustifolia"
