"Latitude","Longitude","Family","Cover_Class","Number","Observation","Genus_species"
"35.231777","-115.79363","Asteraceae","Gravel","1","MJV14-17-BIO-VT-10,-3-1A","Ambrosia dumosa"
"35.231777","-115.79363","Poaceae","Gravel","TNTC","MJV14-17-BIO-VT-10,-3-1A","Bromus madritensis ssp. rubens"
"35.231777","-115.79363","Cactaceae","Gravel","1","MJV14-17-BIO-VT-10,-3-1A","Cylindropuntia ramosissima"
"35.231777","-115.79363","Ephedraceae","Gravel","1","MJV14-17-BIO-VT-10,-3-1A","Ephedra viridis"
"35.231777","-115.79363","Polygonaceae","Gravel","1","MJV14-17-BIO-VT-10,-3-1A","Eriogonum inflatum"
"35.231774","-115.79363","Poaceae","Sand","TNTC","MJV14-17-BIO-VT-10,-3-1B","Bromus madritensis ssp. rubens"
"35.231774","-115.79363","Cactaceae","Sand","1","MJV14-17-BIO-VT-10,-3-1B","Cylindropuntia acanthocarpa"
"35.231774","-115.79363","Solanaceae","Sand","3","MJV14-17-BIO-VT-10,-3-1B","Lycium andersonii"
"35.231832","-115.793838","Poaceae","Gravel","1","MJV14-17-BIO-VT-10,-3-1C","Dasyochloa pulchella"
"35.231832","-115.793838","Ephedraceae","Gravel","1","MJV14-17-BIO-VT-10,-3-1C","Ephedra viridis"
"35.231832","-115.793838","Polygonaceae","Gravel","1","MJV14-17-BIO-VT-10,-3-1C","Eriogonum fasciculatum"
"35.231832","-115.793838","Agavaceae","Gravel","3","MJV14-17-BIO-VT-10,-3-1C","Yucca schidigera"
"35.231783","-115.793979","Asteraceae","Live plant","1","MJV14-17-BIO-VT-10,-3-1D","Ericameria paniculata"
"35.231783","-115.793979","Polygonaceae","Live plant","1","MJV14-17-BIO-VT-10,-3-1D","Eriogonum fasciculatum"
"35.231783","-115.793979","Solanaceae","Live plant","2","MJV14-17-BIO-VT-10,-3-1D","Lycium andersonii"
"35.231783","-115.793979","Agavaceae","Live plant","1","MJV14-17-BIO-VT-10,-3-1D","Yucca schidigera"
"35.231793","-115.794085","Ephedraceae","Granite","1","MJV14-17-BIO-VT-10,-3-1E","Ephedra viridis"
"35.231793","-115.794085","Zygophyllaceae","Granite","1","MJV14-17-BIO-VT-10,-3-1E","Larrea tridentata"
"35.231793","-115.794085","Zygophyllaceae","Granite","1","MJV14-17-BIO-VT-10,-3-1E","Larra tridentata"
"35.231807","-115.794245","Null","Granite","1","MJV14-17-BIO-VT-10,-3-1E","Unknown"
"35.231807","-115.794245","Asteraceae","Gravel","1","MJV14-17-BIO-VT-10,-3-1F","Ericameria paniculata"
"35.231807","-115.794245","Solanaceae","Gravel","1","MJV14-17-BIO-VT-10,-3-1F","Lycium andersonii"
