Latitude,Longitude,Genus_Species,genus,species,Family,Cover_Class,Number,Observation,Observation #
35.23458306,-114.1970139,Abronia_villosa,NA,NA,NA,NA,NA,NA,NA
35.23819694,-114.201205,Acmispon_maritimus,NA,NA,NA,NA,NA,NA,NA
35.23828611,-114.20129,Acmispon_maritimus,NA,NA,NA,NA,NA,NA,NA
35.238435,-114.2014131,Acmispon_maritimus,NA,NA,NA,NA,NA,NA,NA
35.23847083,-114.2016969,Acmispon_maritimus,NA,NA,NA,NA,NA,NA,NA
35.23854611,-114.2018681,Acmispon_maritimus,NA,NA,NA,NA,NA,NA,NA
35.23862389,-114.2020069,Acmispon_maritimus,NA,NA,NA,NA,NA,NA,NA
35.23870389,-114.2013139,Acmispon_maritimus,NA,NA,NA,NA,NA,NA,NA
35.23871389,-114.2010803,Acmispon_maritimus,NA,NA,NA,NA,NA,NA,NA
35.23875889,-114.201355,Acmispon_maritimus,NA,NA,NA,NA,NA,NA,NA
35.23885194,-114.2014431,Acmispon_maritimus,NA,NA,NA,NA,NA,NA,NA
35.238885,-114.2014742,Acmispon_maritimus,NA,NA,NA,NA,NA,NA,NA
35.23891889,-114.2014919,Acmispon_maritimus,NA,NA,NA,NA,NA,NA,NA
35.231777,-115.79363,Ambrosia_dumosa,NA,NA,NA,NA,NA,NA,NA
35.231849,-115.794288,Ambrosia_dumosa,NA,NA,NA,NA,NA,NA,NA
35.231872,-115.796144,Ambrosia_dumosa,NA,NA,NA,NA,NA,NA,NA
35.231875,-115.796429,Ambrosia_dumosa,NA,NA,NA,NA,NA,NA,NA
35.231887,-115.796097,Ambrosia_dumosa,NA,NA,NA,NA,NA,NA,NA
35.231922,-115.795846,Ambrosia_dumosa,NA,NA,NA,NA,NA,NA,NA
35.231959,-115.794649,Ambrosia_dumosa,NA,NA,NA,NA,NA,NA,NA
35.231962,-115.793824,Ambrosia_dumosa,NA,NA,NA,NA,NA,NA,NA
35.23198,-115.796373,Ambrosia_dumosa,NA,NA,NA,NA,NA,NA,NA
35.23198,-115.794192,Ambrosia_dumosa,NA,NA,NA,NA,NA,NA,NA
35.231985,-115.794073,Ambrosia_dumosa,NA,NA,NA,NA,NA,NA,NA
35.232066,-115.79398,Ambrosia_dumosa,NA,NA,NA,NA,NA,NA,NA
35.232085,-115.793802,Ambrosia_dumosa,NA,NA,NA,NA,NA,NA,NA
35.232089,-115.793949,Ambrosia_dumosa,NA,NA,NA,NA,NA,NA,NA
35.232096,-115.796387,Ambrosia_dumosa,NA,NA,NA,NA,NA,NA,NA
